S 8591 8747
V 1348537220 [-1760.3046000003815 4333.21799999848]
V 945293800 [2844.7856999970973 4520.685900000855]
V 1803011177 [3582.857999999076 3519.4769999999553]
V 1803011170 [4990.115999996662 3524.0279999990016]
V 1803011171 [4990.115999996662 3524.0279999990016]
V 970523366 [3183.879599995911 4231.175699999556]
V 1803011172 [4159.502999998629 3443.1090000011027]
V 1803011162 [3086.132999997586 3466.197000000626]
V 1803011165 [3720.164999999106 3493.947000000626]
V 970523359 [3255.363599997014 4375.819800000638]
V 970523347 [3173.3567999973893 4263.054899998009]
V 427163793 [5562.23219999671 1465.199999999255]
V 427163792 [5814.013499997556 1401.2972999997437]
V 1348567584 [-1112.8194000013173 5004.057600000873]
V 1803011158 [3720.164999999106 3494.0580000001937]
V 427163794 [5697.063899997622 1423.8413999993354]
V 1348615863 [-4496.543400004506 2386.24469999969]
V 427163788 [5815.9781999997795 1415.3277000002563]
V 1803011145 [4640.687999993563 3514.371000001207]
V 427163789 [5698.284899998456 1438.127100000158]
V 1803011146 [4640.687999993563 3514.371000001207]
V 427163790 [5641.3085999935865 1439.9474999979138]
V 970523339 [3172.402199998498 4247.115299999714]
V 427163791 [5742.729299996048 1414.6727999988943]
V 427163784 [5533.039200000465 1469.240399999544]
V 427163785 [5543.861699998379 1461.9144000001252]
V 427163786 [5568.059699997306 1472.9034000001848]
V 970523343 [3185.3114999979734 4239.545099999756]
V 427163787 [5880.3249000012875 1393.8713999986649]
V 1104927271 [6680.324099998921 10054.81289999932]
V 427163780 [5561.83259999752 1490.3415000010282]
V 427163781 [5549.367300000042 1494.0822000000626]
V 427163782 [5535.070499997586 1488.4100999981165]
V 427163783 [5530.352999992669 1477.8872999995947]
V 427163776 [3573.101099997759 2031.322200000286]
V 427163777 [5530.730399996042 1480.884299999103]
V 427163778 [5198.8625999987125 1649.4821999985725]
V 427163779 [5644.028099998832 1454.9769000001252]
V 1104927326 [10157.754299998283 -61.704900002107024]
V 1803035928 [1873.9019999951124 5667.770999999717]
V 1348537281 [-5385.475800003856 4023.006299998611]
V 1348537302 [-4693.279800001532 5204.423699999228]
